"[1.3030352028232035, 0.19498361998900676]","[-0.7567887783900256, 1.5006398305299213]","[-0.07535918637180919, -0.05469646474603258]"
"[-0.7655111281548697, 0.6599397647293618]","[1.1267858276278364, -0.43697654795207375]","[-1.2021182143409515, -0.558548509246675]"
"[0.35881650927180697, -0.36045185823892045]","[-0.5288866567389674, 1.282207814148327]","[-0.9056268190976766, -0.7193479511647569]"
"[0.8146207041309939, -2.185304047581137]","[0.847184647192859, 0.8821921207205365]","[0.2382130277274234, -2.744207987220869]"
"[0.045266676475850226, -0.8343169483560908]","[1.656647800000731, -2.0070573977132162]","[-0.1264094235237843, -2.837845647212699]"
"[5.167308146274654, 2.036591007457151]","[-1.4706069287319923, -0.2615552891158517]","[3.4320046819086576, 0.9058133628992251]"
"[1.9432050049219582, 2.2391690718190294]","[1.1381196138695728, -0.4215193934074566]","[1.5122648118567448, 1.0284093751153012]"
"[1.9580044440396067, 1.9648311981981375]","[0.445144471482835, -1.033585936875009]","[1.1805766797810242, 0.44803822976063296]"
"[-10.39799764069094, -3.6975018998625093]","[6.015335214655515, -1.6370946178909174]","[-8.390330033363183, -5.516049208807968]"
"[0.45669425697793664, 5.378309131048141]","[1.9294460565126406, -2.03885164261698]","[0.4214172852342569, 3.3588833097396518]"
"[1.6873507788637525, 1.3350849402030978]","[-0.5802763256116468, 0.008198066795121806]","[0.39721261605792924, 0.33918397360065855]"
"[0.08574773771674427, -3.101534787989491]","[0.7888281633897741, 3.2496936334963715]","[-0.5198381805883686, -2.4766879712413052]"
"[0.4591011254178309, 3.7381096798139506]","[0.4338807434436218, 1.0120381022895604]","[-0.3239585028603582, 3.2441287309587308]"
"[0.4490485007998018, 0.7481767968867685]","[1.2030174608844515, -0.1015787154978185]","[0.05055723124202755, -0.30261256086214067]"
"[-0.3211011300922881, 2.2820646969622245]","[1.8971555457487175, 1.7685530475226434]","[-0.37252335721792934, 2.166341220723546]"
"[2.5889622843436655, 3.1381530555495294]","[2.226435146439015, -0.6165431763300981]","[2.702179857563173, 1.8298814673844803]"
"[0.9718736240215724, -0.8991693201611883]","[0.14245833386423445, 0.4609741744681042]","[0.04310279095368963, -1.6686822329271362]"
"[-1.0812568748391314, 1.6486832321626883]","[2.2808845902359343, -1.8948739968828114]","[-0.9408145797211642, -0.2987537662787173]"
"[0.2703995864188041, 0.9074314948084263]","[3.380965709088755, 2.3001855211606954]","[0.9608824409631816, 1.057524255388774]"
"[-0.6177365571732792, 2.26435622147582]","[0.9464334627542115, -0.5314375761680861]","[-1.1445198257961735, 0.9986374333917774]"
"[1.3208140332733962, 1.5509890308696315]","[0.23557525090629583, -0.5972331882193473]","[0.43860165872654416, 0.2523724367599578]"
"[4.56127086193778, 2.1102259838957145]","[-3.0129142800798894, -0.38535850523979454]","[2.054813721897836, 0.9175467312758172]"
"[1.3677049609114578, 1.439454057365293]","[0.7153119007851998, -1.1485788353866329]","[0.7253609113040577, -0.13483536032802357]"
"[1.8083534201037896, 4.804524010648889]","[2.459086516005319, 1.1237611407736945]","[2.037896678106449, 4.366404581035736]"
"[0.6432908193559967, -1.7828207609773938]","[0.18236695586771878, 1.9591680698096545]","[-0.26552570271014386, -1.8032367260725666]"
"[-2.133055925865541, -1.8483799290347511]","[2.5628678844916357, 1.6787971185626556]","[-1.851621983619723, -2.0089813697534233]"
"[0.48006187525698996, 0.12063216060662735]","[2.175674582387087, 1.7771311775267544]","[0.5678991664505334, 0.00919774937000456]"
"[0.6033523329463661, 0.9014180968251345]","[0.23876267895251924, -0.18797419057866804]","[-0.27726632757737424, -0.1925689984641995]"
"[-3.83347617540076, -1.7984640067253526]","[3.2869560268994173, 0.8341673081474333]","[-3.1899981619510513, -2.381380352651636]"
"[-1.501537523803288, 0.03971874865383729]","[4.87773690263515, 2.56526102883722]","[-0.0626690724857129, 0.3223492630724474]"
"[0.9411028034431449, 3.1140385009261564]","[0.1884472033133029, -0.10897508147989798]","[0.03532640509979636, 2.059550960186207]"
"[-0.3801317105618919, 0.5879521153861764]","[1.636660090350658, -0.4308345291343061]","[-0.5618016653865628, -0.6274651491809766]"
"[0.8071944773571795, 0.5057174194563032]","[1.5515393594052924, 0.5281950775597218]","[0.5829641570598257, -0.23018504176383575]"
"[0.7827510197245272, 3.0199984018588517]","[-0.16676815665882194, 0.47038619004878435]","[-0.3006330586048839, 2.255191496883244]"
"[0.7973982856063545, 3.121582850057571]","[1.7882172373649015, 0.3269845974700779]","[0.6915069042888052, 2.2850751487926098]"
"[-0.21890933657274306, 1.5851030756343674]","[2.174318376575246, -2.3008727938943023]","[-0.13175014828512002, -0.5653333213127838]"
"[3.8561853486982507, -1.2347622154079163]","[-1.7588882627801876, 0.8155767093561437]","[1.9767412173081569, -1.8269738607298445]"
"[0.6846911203574249, 0.0319292353490952]","[2.686592561347525, 2.7929195556826807]","[1.0279874010311874, 0.42838901319043554]"
"[2.8285165321822525, -0.9843921388916976]","[1.837050577683373, 1.3123610886669401]","[2.747041821023939, -1.3282115945582276]"
"[-1.0827317717547154, 0.06699110127432806]","[2.339458817846063, 2.320901769108899]","[-0.9130023628316839, 0.2274419858287775]"
"[-0.384111222429398, -4.727063488873311]","[0.8018823492300079, 3.4181857978136394]","[-0.983170047814394, -4.017970589966492]"
"[0.33025845975039764, -0.14605887572595222]","[1.7345130992230229, 0.36170531050128896]","[0.19751500936190908, -0.9652062204753078]"
"[1.0416135583998085, -0.29860461274934447]","[-0.22403705794576534, 0.02072376184675573]","[-0.07040497057307415, -1.2882427318259666]"
"[2.4816545429946615, -0.16464416023941975]","[-1.2991343877972343, 3.447598938554632]","[0.8320873490960442, 0.5591553090378962]"
"[1.8383384414808932, 2.1694308885269766]","[2.4640443961768663, -0.7614794096605069]","[2.0703606395693264, 0.7886911836967234]"
"[-2.899986675609699, 1.705228344027587]","[1.605939868813412, -0.3933070553018949]","[-3.0970167412029928, 0.5085748163766397]"
