Year,State,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2001","United States-Total","285,317,559","1,439,480","16,037","90,863","423,557","909,023","10,437,189","2,116,531","7,092,267","1,228,391","504.5","5.6","31.8","148.5","318.6","3,658.1","741.8","2,485.7","430.5"
"2002","United States-Total","287,973,924","1,423,677","16,229","95,235","420,806","891,407","10,455,277","2,151,252","7,057,379","1,246,646","494.4","5.6","33.1","146.1","309.5","3,630.6","747.0","2,450.7","432.9"
"2003","United States-Total","290,788,976","1,383,676","16,528","93,883","414,235","859,030","10,442,862","2,154,834","7,026,802","1,261,226","475.8","5.7","32.3","142.5","295.4","3,591.2","741.0","2,416.5","433.7"
"2004","United States-Total","293,656,842","1,360,088","16,148","95,089","401,470","847,381","10,319,386","2,144,446","6,937,089","1,237,851","463.2","5.5","32.4","136.7","288.6","3,514.1","730.3","2,362.3","421.5"
"2005","United States-Total","296,507,061","1,390,745","16,740","94,347","417,438","862,220","10,174,754","2,155,448","6,783,447","1,235,859","469.0","5.6","31.8","140.8","290.8","3,431.5","726.9","2,287.8","416.8"
"2006","United States-Total","299,398,484","1,435,123","17,309","94,472","449,246","874,096","10,019,601","2,194,993","6,626,363","1,198,245","479.3","5.8","31.6","150.0","292.0","3,346.6","733.1","2,213.2","400.2"
"2007","United States-Total","301,621,157","1,422,970","17,128","92,160","447,324","866,358","9,882,212","2,190,198","6,591,542","1,100,472","471.8","5.7","30.6","148.3","287.2","3,276.4","726.1","2,185.4","364.9"
"2008","United States-Total","304,059,724","1,394,461","16,465","90,750","443,563","843,683","9,774,152","2,228,887","6,586,206","959,059","458.6","5.4","29.8","145.9","277.5","3,214.6","733.0","2,166.1","315.4"
"2009","United States-Total","307,006,550","1,325,896","15,399","89,241","408,742","812,514","9,337,060","2,203,313","6,338,095","795,652","431.9","5.0","29.1","133.1","264.7","3,041.3","717.7","2,064.5","259.2"
"2010","United States-Total","309,330,219","1,251,248","14,722","85,593","369,089","781,844","9,112,625","2,168,459","6,204,601","739,565","404.5","4.8","27.7","119.3","252.8","2,945.9","701.0","2,005.8","239.1"
"2011","United States-Total","311,587,816","1,206,031","14,661","84,175","354,772","752,423","9,052,743","2,185,140","6,151,095","716,508","387.1","4.7","27.0","113.9","241.5","2,905.4","701.3","1,974.1","230.0"
"2012","United States-Total","313,873,685","1,217,067","14,866","85,141","355,051","762,009","9,001,992","2,109,932","6,168,874","723,186","387.8","4.7","27.1","113.1","242.8","2,868.0","672.2","1,965.4","230.4"
"2013","United States-Total","316,497,531","1,199,684","14,319","82,109","345,095","726,575","8,650,761","1,931,835","6,018,632","700,294","379.1","4.5","25.9","109.0","229.6","2,733.3","610.4","1,901.6","221.3"
"2014","United States-Total","318,857,056","1,197,987","14,249","84,041","325,802","741,291","8,277,829","1,729,806","5,858,496","689,527","375.7","4.5","26.4","102.2","232.5","2,596.1","542.5","1,837.3","216.2"
"2001","Alabama","4,468,912","19,582","379","1,369","5,584","12,250","173,253","40,642","119,992","12,619","438.2","8.5","30.6","125.0","274.1","3,876.8","909.4","2,685.0","282.4"
"2002","Alabama","4,478,896","19,931","303","1,664","5,962","12,002","180,400","42,578","123,932","13,890","445.0","6.8","37.2","133.1","268.0","4,027.8","950.6","2,767.0","310.1"
"2003","Alabama","4,503,726","19,331","299","1,656","6,038","11,338","182,241","43,245","124,039","14,957","429.2","6.6","36.8","134.1","251.7","4,046.4","960.2","2,754.1","332.1"
"2004","Alabama","4,525,375","19,324","254","1,742","6,042","11,286","182,340","44,666","123,650","14,024","427.0","5.6","38.5","133.5","249.4","4,029.3","987.0","2,732.4","309.9"
"2005","Alabama","4,548,327","19,678","374","1,564","6,447","11,293","177,393","43,473","120,780","13,140","433.0","8.2","34.4","141.7","248.3","3,900.0","955.8","2,656.0","289.0"
"2006","Alabama","4,599,030","19,553","382","1,646","7,062","10,463","181,249","44,780","121,451","15,018","425.2","8.3","35.8","153.6","227.5","3,941.0","973.7","2,640.8","326.5"
"2007","Alabama","4,627,851","20,775","412","1,548","7,398","11,417","184,082","45,379","124,465","14,238","448.9","8.9","33.4","159.9","246.7","3,977.7","980.6","2,689.5","307.7"
"2008","Alabama","4,661,900","21,110","351","1,618","7,346","11,795","190,416","50,411","126,539","13,466","452.8","7.5","34.7","157.6","253.0","4,084.5","1,081.3","2,714.3","288.9"
"2009","Alabama","4,708,708","21,194","322","1,504","6,265","13,103","178,007","48,844","118,072","11,091","450.1","6.8","31.9","133.1","278.3","3,780.4","1,037.3","2,507.5","235.5"
"2010","Alabama","4,785,401","18,363","275","1,355","4,864","11,869","168,828","42,484","115,564","10,780","383.7","5.7","28.3","101.6","248.0","3,528.0","887.8","2,414.9","225.3"
"2011","Alabama","4,803,689","20,166","299","1,370","4,906","13,591","173,192","51,119","111,411","10,662","419.8","6.2","28.5","102.1","282.9","3,605.4","1,064.2","2,319.3","222.0"
"2012","Alabama","4,817,528","21,693","342","1,296","5,020","15,035","168,878","47,481","111,523","9,874","450.3","7.1","26.9","104.2","312.1","3,505.5","985.6","2,314.9","205.0"
"2013","Alabama","4,833,996","20,834","346","1,449","4,645","13,788","161,835","42,410","108,862","10,563","431.0","7.2","30.0","96.1","285.2","3,347.9","877.3","2,252.0","218.5"
"2014","Alabama","4,849,377","20,727","276","1,436","4,701","13,745","154,094","39,715","104,238","10,141","427.4","5.7","29.6","96.9","283.4","3,177.6","819.0","2,149.5","209.1"
"2001","Alaska","633,630","3,735","39","501","514","2,681","23,160","3,847","16,695","2,618","589.5","6.2","79.1","81.1","423.1","3,655.1","607.1","2,634.8","413.2"
"2002","Alaska","641,482","3,627","33","511","489","2,594","24,118","3,908","17,739","2,471","565.4","5.1","79.7","76.2","404.4","3,759.7","609.2","2,765.3","385.2"
"2003","Alaska","648,280","3,877","39","605","446","2,787","24,386","3,874","18,051","2,461","598.0","6.0","93.3","68.8","429.9","3,761.6","597.6","2,784.4","379.6"
"2004","Alaska","657,755","4,159","37","558","447","3,117","22,172","3,773","16,159","2,240","632.3","5.6","84.8","68.0","473.9","3,370.9","573.6","2,456.7","340.6"
"2005","Alaska","663,253","4,194","32","538","537","3,087","23,975","4,131","17,249","2,595","632.0","4.8","81.1","81.0","465.4","3,615.0","622.8","2,601.0","391.0"
"2006","Alaska","670,053","4,610","36","512","600","3,462","23,975","4,155","17,284","2,536","688.0","5.4","76.4","89.5","516.7","3,578.1","620.1","2,579.5","378.5"
"2007","Alaska","683,478","4,520","43","545","581","3,351","23,096","3,734","16,929","2,433","661.3","6.3","79.7","85.0","490.3","3,379.2","546.3","2,476.9","356.0"
"2008","Alaska","686,293","4,475","27","447","645","3,356","20,090","3,237","15,225","1,628","652.1","3.9","65.1","94.0","489.0","2,927.3","471.7","2,218.4","237.2"
"2009","Alaska","698,473","4,424","22","513","654","3,235","20,538","3,600","15,251","1,687","633.4","3.1","73.4","93.6","463.2","2,940.4","515.4","2,183.5","241.5"
"2010","Alaska","714,146","4,537","31","533","594","3,379","20,259","3,105","15,535","1,619","635.3","4.3","74.6","83.2","473.2","2,836.8","434.8","2,175.3","226.7"
"2011","Alaska","723,860","4,416","30","436","576","3,374","19,094","2,852","14,854","1,388","610.1","4.1","60.2","79.6","466.1","2,637.8","394.0","2,052.1","191.7"
"2012","Alaska","730,307","4,412","30","583","630","3,169","20,037","2,950","15,565","1,522","604.1","4.1","79.8","86.3","433.9","2,743.6","403.9","2,131.3","208.4"
"2013","Alaska","737,259","4,709","34","657","623","3,127","21,211","2,917","16,599","1,695","638.7","4.6","89.1","84.5","424.1","2,877.0","395.7","2,251.4","229.9"
"2014","Alaska","736,732","4,684","41","555","629","3,243","20,334","3,150","15,445","1,739","635.8","5.6","75.3","85.4","440.2","2,760.0","427.6","2,096.4","236.0"
"2001","Arizona","5,306,966","28,675","400","1,518","8,868","17,889","293,874","54,821","186,850","52,203","540.3","7.5","28.6","167.1","337.1","5,537.5","1,033.0","3,520.8","983.7"
"2002","Arizona","5,441,125","30,171","387","1,608","8,000","20,176","318,296","59,087","201,541","57,668","554.5","7.1","29.6","147.0","370.8","5,849.8","1,085.9","3,704.0","1,059.9"
"2003","Arizona","5,579,222","28,638","441","1,856","7,619","18,722","314,335","58,613","198,725","56,997","513.3","7.9","33.3","136.6","335.6","5,634.0","1,050.6","3,561.9","1,021.6"
"2004","Arizona","5,739,879","28,952","414","1,896","7,721","18,921","291,203","56,885","179,012","55,306","504.4","7.2","33.0","134.5","329.6","5,073.3","991.0","3,118.7","963.5"
"2005","Arizona","5,953,007","30,478","445","2,006","8,579","19,448","287,345","56,328","176,112","54,905","512.0","7.5","33.7","144.1","326.7","4,827.0","946.2","2,958.0","922.0"
"2006","Arizona","6,166,318","33,456","533","2,449","9,491","20,983","294,389","59,418","178,321","56,650","542.6","8.6","39.7","153.9","340.3","4,774.1","963.6","2,891.9","918.7"
"2007","Arizona","6,338,755","32,835","548","2,353","9,764","20,170","287,308","59,988","177,076","50,244","518.0","8.6","37.1","154.0","318.2","4,532.6","946.4","2,793.5","792.6"
"2008","Arizona","6,500,180","31,567","462","2,200","9,809","19,096","266,653","58,606","169,460","38,587","485.6","7.1","33.8","150.9","293.8","4,102.2","901.6","2,607.0","593.6"
"2009","Arizona","6,595,778","28,128","380","2,279","8,199","17,270","236,721","54,308","155,976","26,437","426.5","5.8","34.6","124.3","261.8","3,589.0","823.4","2,364.8","400.8"
"2010","Arizona","6,413,158","26,528","408","2,191","6,953","16,976","226,802","50,932","154,137","21,733","413.6","6.4","34.2","108.4","264.7","3,536.5","794.2","2,403.4","338.9"
"2011","Arizona","6,467,315","26,789","397","2,499","7,145","16,748","229,896","54,695","155,400","19,801","414.2","6.1","38.6","110.5","259.0","3,554.7","845.7","2,402.9","306.2"
"2012","Arizona","6,551,149","28,077","358","2,282","7,383","18,054","231,701","52,911","159,808","18,982","428.6","5.5","34.8","112.7","275.6","3,536.8","807.7","2,439.4","289.8"
"2013","Arizona","6,634,997","27,576","355","2,344","6,656","17,391","223,294","48,292","158,036","16,966","415.6","5.4","35.3","100.3","262.1","3,365.4","727.8","2,381.9","255.7"
"2014","Arizona","6,731,484","26,916","319","2,464","6,249","16,970","215,240","43,562","154,091","17,587","399.9","4.7","36.6","92.8","252.1","3,197.5","647.1","2,289.1","261.3"
"2001","Arkansas","2,694,698","12,190","148","892","2,181","8,969","99,106","22,196","69,590","7,320","452.4","5.5","33.1","80.9","332.8","3,677.8","823.7","2,582.5","271.6"
"2002","Arkansas","2,706,268","11,501","142","754","2,524","8,081","101,171","23,229","71,129","6,813","425.0","5.2","27.9","93.3","298.6","3,738.4","858.3","2,628.3","251.7"
"2003","Arkansas","2,727,774","12,449","180","911","2,227","9,131","99,084","25,016","68,061","6,007","456.4","6.6","33.4","81.6","334.7","3,632.4","917.1","2,495.1","220.2"
"2004","Arkansas","2,750,000","13,814","176","1,183","2,372","10,083","110,911","30,151","74,242","6,518","502.3","6.4","43.0","86.3","366.7","4,033.1","1,096.4","2,699.7","237.0"
"2005","Arkansas","2,775,708","14,670","189","1,202","2,532","10,747","112,914","30,118","75,510","7,286","528.0","6.8","43.3","91.2","387.2","4,068.0","1,085.1","2,720.0","262.0"
"2006","Arkansas","2,810,872","15,538","205","1,325","2,749","11,259","112,025","31,864","72,646","7,515","552.8","7.3","47.1","97.8","400.6","3,985.4","1,133.6","2,584.5","267.4"
"2007","Arkansas","2,834,797","15,226","198","1,294","3,105","10,629","112,130","32,035","73,096","6,999","537.1","7.0","45.6","109.5","374.9","3,955.5","1,130.1","2,578.5","246.9"
"2008","Arkansas","2,855,390","14,649","165","1,463","2,777","10,244","110,360","33,912","69,905","6,543","513.0","5.8","51.2","97.3","358.8","3,865.0","1,187.6","2,448.2","229.1"
"2009","Arkansas","2,889,450","14,905","179","1,378","2,576","10,772","109,078","34,753","68,228","6,097","515.8","6.2","47.7","89.2","372.8","3,775.0","1,202.8","2,361.3","211.0"
"2010","Arkansas","2,921,588","14,711","134","1,321","2,369","10,887","103,820","32,463","65,796","5,561","503.5","4.6","45.2","81.1","372.6","3,553.5","1,111.1","2,252.1","190.3"
"2011","Arkansas","2,938,582","14,173","160","1,230","2,357","10,426","110,430","34,016","70,645","5,769","482.3","5.4","41.9","80.2","354.8","3,757.9","1,157.6","2,404.1","196.3"
"2012","Arkansas","2,949,828","13,851","174","1,233","2,310","10,134","109,389","32,673","70,982","5,734","469.6","5.9","41.8","78.3","343.5","3,708.3","1,107.6","2,406.3","194.4"
"2013","Arkansas","2,958,765","13,705","158","1,135","2,261","9,796","106,477","30,369","70,430","5,678","463.2","5.3","38.4","76.4","331.1","3,598.7","1,026.4","2,380.4","191.9"
"2014","Arkansas","2,966,369","14,243","165","1,182","2,050","10,265","99,018","24,790","68,627","5,601","480.1","5.6","39.8","69.1","346.0","3,338.0","835.7","2,313.5","188.8"
"2001","California","34,600,463","212,867","2,206","9,960","64,614","136,087","1,134,189","232,273","697,739","204,177","615.2","6.4","28.8","186.7","393.3","3,278.0","671.3","2,016.6","590.1"
"2002","California","35,001,986","208,388","2,395","10,198","64,968","130,827","1,176,484","238,428","715,692","222,364","595.4","6.8","29.1","185.6","373.8","3,361.2","681.2","2,044.7","635.3"
"2003","California","35,462,712","205,551","2,407","9,994","63,770","129,380","1,215,086","242,274","731,486","241,326","579.6","6.8","28.2","179.8","364.8","3,426.4","683.2","2,062.7","680.5"
"2004","California","35,842,038","189,175","2,392","9,615","61,768","115,400","1,227,194","245,903","728,687","252,604","527.8","6.7","26.8","172.3","322.0","3,423.9","686.1","2,033.1","704.8"
"2005","California","36,154,147","190,178","2,503","9,392","63,622","114,661","1,200,531","250,521","692,467","257,543","526.0","6.9","26.0","176.0","317.1","3,321.0","692.9","1,915.0","712.0"
"2006","California","36,457,549","194,483","2,486","9,235","71,142","111,620","1,159,988","247,230","669,103","243,655","533.5","6.8","25.3","195.1","306.2","3,181.7","678.1","1,835.3","668.3"
"2007","California","36,553,215","191,561","2,262","9,046","70,706","109,547","1,112,510","237,850","654,526","220,134","524.1","6.2","24.7","193.4","299.7","3,043.5","650.7","1,790.6","602.2"
"2008","California","36,756,666","185,329","2,142","8,903","69,388","104,896","1,080,996","237,811","650,656","192,529","504.2","5.8","24.2","188.8","285.4","2,941.0","647.0","1,770.2","523.8"
"2009","California","36,961,664","174,934","1,972","8,713","64,093","100,156","1,009,433","230,198","615,402","163,833","473.3","5.3","23.6","173.4","271.0","2,731.0","622.8","1,665.0","443.3"
"2010","California","37,338,198","164,133","1,809","8,331","58,116","95,877","981,939","228,857","600,558","152,524","439.6","4.8","22.3","155.6","256.8","2,629.9","612.9","1,608.4","408.5"
"2011","California","37,683,933","154,943","1,792","7,665","54,291","91,195","973,822","230,075","596,905","146,842","411.2","4.8","20.3","144.1","242.0","2,584.2","610.5","1,584.0","389.7"
"2012","California","37,999,878","160,944","1,884","7,837","56,521","94,702","1,049,465","245,767","635,090","168,608","423.5","5.0","20.6","148.7","249.2","2,761.8","646.8","1,671.3","443.7"
"2013","California","38,431,393","154,739","1,746","7,464","53,640","89,029","1,018,907","232,058","621,557","165,292","402.6","4.5","19.4","139.6","231.7","2,651.2","603.8","1,617.3","430.1"
"2014","California","38,802,500","153,709","1,699","8,398","48,680","91,803","947,192","202,670","592,670","151,852","396.1","4.4","21.6","125.5","236.6","2,441.1","522.3","1,527.4","391.3"
"2001","Colorado","4,430,989","15,492","158","1,930","3,555","9,849","170,887","28,533","121,360","20,994","349.6","3.6","43.6","80.2","222.3","3,856.6","643.9","2,738.9","473.8"
"2002","Colorado","4,501,051","15,882","179","2,066","3,579","10,058","180,054","31,678","125,193","23,183","352.9","4.0","45.9","79.5","223.5","4,000.3","703.8","2,781.4","515.1"
"2003","Colorado","4,547,633","15,757","185","1,913","3,738","9,921","179,706","32,394","124,496","22,816","346.5","4.1","42.1","82.2","218.2","3,951.6","712.3","2,737.6","501.7"
"2004","Colorado","4,601,821","17,121","201","1,945","3,739","11,236","180,322","33,010","123,308","24,004","372.0","4.4","42.3","81.3","244.2","3,918.5","717.3","2,679.5","521.6"
"2005","Colorado","4,663,295","18,498","173","2,026","3,948","12,351","188,449","34,746","127,602","26,101","397.0","3.7","43.4","84.7","264.9","4,041.0","745.1","2,736.0","560.0"
"2006","Colorado","4,753,377","18,794","171","2,158","3,824","12,641","163,439","32,411","110,372","20,656","395.4","3.6","45.4","80.4","265.9","3,438.4","681.9","2,322.0","434.6"
"2007","Colorado","4,861,515","17,101","155","2,075","3,461","11,410","145,808","28,633","100,519","16,656","351.8","3.2","42.7","71.2","234.7","2,999.2","589.0","2,067.6","342.6"
"2008","Colorado","4,939,456","17,480","165","2,151","3,404","11,760","139,340","28,054","97,937","13,349","353.9","3.3","43.5","68.9","238.1","2,821.0","568.0","1,982.7","270.3"
"2009","Colorado","5,024,748","17,022","159","2,269","3,371","11,223","134,196","26,637","95,079","12,480","338.8","3.2","45.2","67.1","223.4","2,670.7","530.1","1,892.2","248.4"
"2010","Colorado","5,047,692","16,339","129","2,230","3,164","10,816","135,001","26,196","97,534","11,271","323.7","2.6","44.2","62.7","214.3","2,674.5","519.0","1,932.2","223.3"
"2011","Colorado","5,116,302","16,085","155","2,285","3,299","10,346","132,781","25,725","96,054","11,002","314.4","3.0","44.7","64.5","202.2","2,595.3","502.8","1,877.4","215.0"
"2012","Colorado","5,189,458","15,951","152","2,122","3,392","10,285","139,355","26,163","101,091","12,101","307.4","2.9","40.9","65.4","198.2","2,685.3","504.2","1,948.0","233.2"
"2013","Colorado","5,272,086","16,099","174","2,198","3,136","9,826","139,974","25,075","102,375","12,524","305.4","3.3","41.7","59.5","186.4","2,655.0","475.6","1,941.8","237.6"
"2014","Colorado","5,355,866","16,554","151","2,121","3,039","10,325","135,510","23,472","99,464","12,574","309.1","2.8","39.6","56.7","192.8","2,530.1","438.2","1,857.1","234.8"
"2001","Connecticut","3,434,602","11,492","105","639","4,183","6,565","95,299","17,159","65,762","12,378","334.6","3.1","18.6","121.8","191.1","2,774.7","499.6","1,914.7","360.4"
"2002","Connecticut","3,458,587","10,807","84","740","4,069","5,914","93,426","17,111","64,735","11,580","312.5","2.4","21.4","117.6","171.0","2,701.3","494.7","1,871.7","334.8"
"2003","Connecticut","3,486,960","11,045","112","698","4,212","6,023","92,981","16,043","65,568","11,370","316.8","3.2","20.0","120.8","172.7","2,666.5","460.1","1,880.4","326.1"
